id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
81449,Stylish Central London Flat with pool and terrace,441736,Kris,,Tower Hamlets,51.51061,322.4848571,Entire home/apt,156,2,193,31-03-2021,1.39,3,196,0
81473,"Lush room in Crystal Palace, London",441881,Petra,,Bromley,51.41565,328.7665714,Private room,40,2,62,06-11-2021,0.45,1,48,1
81635,"Clerkenwell penthouse, huge terrace",443041,Carol,,Islington,51.52707,335.0482857,Private room,102,4,56,27-06-2022,0.5,2,336,1
84223,Ideal for Urban Explorers *5 star Designer home,460272,Antonia Clare,,Southwark,51.48579,341.33,Private room,62,1,376,10-08-2022,2.71,8,336,12
84532,"Cosy Double room London, River View",462165,Murielle,,Haringey,51.57765,347.6117143,Private room,41,3,108,13-08-2022,1.13,1,21,24
85191,Maisonette in Central London Zone 1,466353,Elisabetta,,Lambeth,51.49168,353.8934286,Private room,65,2,462,09-08-2022,3.33,1,323,46
86092,"Lovely, spacious  garden apartment.",472474,Amy  Gabriella,,Hammersmith and Fulham,51.48606,360.1751429,Entire home/apt,135,3,132,27-08-2022,0.99,1,75,28
87514,Gorgeous Spacious Bloomsbury Studio,352607,Andrea,,Camden,51.52479,366.4568571,Entire home/apt,129,3,181,31-05-2022,1.34,1,182,6
89183,Lovely place in the central London!,485861,Lara,,Westminster,51.51427,372.7385714,Entire home/apt,250,3,71,31-07-2022,0.51,3,8,1
89787,1 bed apt 30 mins from Windsor castle,488175,Dominic,,Hounslow,51.44742,379.0202857,Entire home/apt,55,2,2,23-09-2016,0.03,1,0,0
89870,London Holiday Flat Let-Islington,54730,Alina,,Islington,51.56792,385.302,Entire home/apt,145,1,115,28-08-2022,0.85,2,343,24
90549,"Central, Luxury & Large Ensuite Canary Wharf",490830,Daniel,,Tower Hamlets,51.49764,391.5837143,Private room,48,2,127,21-10-2020,2.09,1,0,0
90700,Sunny Notting Hill flat & terrace,491286,Chil,,Kensington and Chelsea,51.51109,397.8654286,Entire home/apt,125,2,420,21-08-2022,3.08,2,267,55
90962,Luxury Private Double Ensuite Room,492218,Richard,,Hammersmith and Fulham,51.48821,404.1471429,Private room,96,10,6,13-07-2022,0.04,3,250,1
91031,Zone 2 Chelsea Bridge Flat - 2 beds,491004,Kinga,,Wandsworth,51.48089,410.4288571,Entire home/apt,99,12,16,31-08-2022,0.12,1,45,3
91287,"The Barnsbury, London Apartment w/WIFI",493497,Clive,,Islington,51.54026,416.7105714,Entire home/apt,194,5,51,12-08-2022,0.37,3,4,9
92352,Flat  for Rent,497172,Natalie,,Islington,51.54113,422.9922857,Entire home/apt,99,6,47,05-09-2022,0.67,1,0,10
92399,"MODERN SELF CONTAINED ARCHITECT FLATLET, ISLINGTON",497366,Andrea,,Islington,51.55104,429.274,Entire home/apt,120,3,253,05-09-2022,1.86,2,142,32
92644,Twin room,498201,Dee Dee,,Wandsworth,51.44201,435.5557143,Private room,42,2,208,06-09-2022,1.52,1,116,27
93015,2 bed West Kensington apartment,499704,Sarah,,Hammersmith and Fulham,51.49993,441.8374286,Entire home/apt,100,3,36,13-06-2022,0.28,1,21,9
93734,Relaxing Stay in Royal Greenwich. SE3,497514,William,,Greenwich,51.47618,448.1191429,Private room,41,4,155,28-08-2022,1.14,1,314,19
93783,Shown on T.V! Notting Hill Oasis,502496,Darshi Rowan And Tara,,Westminster,51.51881,454.4008571,Entire home/apt,336,5,21,22-08-2022,0.15,1,242,6
94138,Lovely east London ground floor apartment,503548,Carl,,Tower Hamlets,51.52764,460.6825714,Entire home/apt,75,2,42,05-03-2020,0.79,1,0,0
